ZIP Code,City/Parish,Population,Classification,Passes Active Filters,Rural Designation (RUCA Category),Broadband Deserts,Social Vulnerability (Poverty),Social Vulnerability (Food Access),Transportation (Vehicle Ownership),Healthcare Facility (Specialty),Healthcare Facility (Acute),Diabetes Prevalence,Population
70668,70668,6347,Urban,Yes,2,4.53,18.9,13,2.2617070740617735,0,0,10.5,6347
70669,70669,9183,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,0,0,10.5,9183
70706,70706,22621,Urban,Yes,1,1.69,12,8,1.4383824298413805,0,0,10.3,22621
70710,70710,7052,Urban,Yes,1,7.75,14.400000000000002,7,1.9761113343317382,0,0,8.7,7052
70711,70711,5621,Urban,Yes,2,1.69,12,8,1.4383824298413805,0,0,10.3,5621
70712,70712,4256,Rural,Yes,10,49.09,22.1,15,0.9701784086469593,0,0,8.1,4256
70714,70714,17449,Urban,Yes,1,1.8399999999999999,17.7,12,2.952666225028556,0,0,10.9,17449
70715,70715,895,Rural,Yes,10,13,20,11,2.2419136161146622,0,0,9.4,895
70717,70717,28646,Urban,Yes,1,13,20,11,2.2419136161146622,0,0,9.4,28646
70719,70719,4317,Urban,Yes,1,7.75,14.400000000000002,7,1.9761113343317382,0,0,8.7,4317
70720,70720,43652,Urban,Yes,1,7.75,14.400000000000002,7,1.9761113343317382,0,0,8.7,43652
70721,70721,368,Urban,Yes,2,8.14,18.7,2,2.7805362462760677,0,0,10.9,368
70722,70722,4596,Rural,Yes,2,17.1,18.7,0,2.817191034340942,0,0,10.1,4596
70723,70723,1115,Urban,Yes,2,0.84,16.6,9,3.1508213041314086,0,0,11,1115
70725,70725,995,Urban,Yes,1,1.03,9.6,10,1.3530435604419837,0,0,10.5,995
70726,70726,61965,Urban,Yes,1,1.69,12,8,1.4383824298413805,1,0,10.3,61965
70729,70729,1201,Urban,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1201
70730,70730,3520,Rural,Yes,2,17.1,18.7,0,2.817191034340942,0,0,10.1,3520
70732,70732,1098,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1098
