fy,ccn,hcris_name,hcris_city,hcris_class,fy_days,fy_end,control,npr,other_income,total_assets,fund_bal,cash,opex,days_cash,pt_svc_margin,total_margin,other_income_pct_npr,equity_ratio,current_ratio,hospital,ccn_use,medicare_class_chqpr,lihnc_member,in_epic_pipeline,epic_wave,parish,stratum
2022,190160,GLENWOOD REGIONAL MEDICAL CENTER,West Monroe,STH,364,02/28/2023,Proprietary-Corp,184532055.0,7903492.0,188509495.0,105911486.0,-1532.0,195484807.0,-0.0,-0.0594,-0.0158,0.0428,0.5618,1.35,Glenwood Regional Medical Center,190160,,Yes,No,,OUACHITA,Proprietary
2022,191305,ST. JAMES PARISH HOSPITAL,Lutcher,CAH,364,03/31/2023,Gov-Hospital District,33850324.0,5564132.0,73595886.0,61502824.0,28080346.0,31428706.0,347.4,0.0715,0.2026,0.1644,0.8357,15.62,St. James Parish Hospital,191305,CAH,Yes,No,,ST JAMES,Government
2022,190106,OAKDALE COMMUNITY HOSPITAL,Oakdale,STH,364,03/31/2023,Proprietary-Corp,20230612.0,86053.0,10897511.0,-3728272.0,799906.0,21758698.0,13.3,-0.0755,-0.071,0.0043,-0.3421,0.74,Oakdale Community Hospital,190106,IPPS,No,No,,ALLEN,Proprietary
2022,190014,OCHSNER ST. MARY,Morgan City,STH,364,12/31/2022,Nonprofit-Other,35905959.0,1888731.0,12764175.0,-816500.0,540672.0,48391440.0,4.3,-0.3477,-0.2804,0.0526,-0.064,0.92,Ochsner St Mary,190014,SCH,No,No,,ST MARY,Nonprofit
2022,190090,WINN PARISH MEDICAL CENTER,Winnfield,STH,364,03/31/2023,Proprietary-Corp,12372538.0,5391187.0,8168632.0,1397533.0,216662.0,17070735.0,4.5,-0.3797,0.039,0.4357,0.1711,1.31,Winn Parish Medical Center,190090,IPPS,No,No,,WINN,Proprietary
2022,190218,SABINE MEDICAL CENTER,Many,STH,364,03/31/2023,Proprietary-Corp,22019927.0,647680.0,9883905.0,3896052.0,-1380565.0,20652416.0,-24.5,0.0621,0.0889,0.0294,0.3942,,Sabine Medical Center,190218,SCH,No,No,,SABINE,Proprietary
2022,190140,FRANKLIN MEDICAL CENTER,Winnsboro,STH,364,04/30/2023,Gov-Hospital District,41179396.0,13749559.0,44233049.0,36018350.0,21828210.0,45348594.0,180.5,-0.1012,0.1735,0.3339,0.8143,3.48,Franklin Medical Center,190140,IPPS,Yes,Yes,Wave 1,FRANKLIN,Government
2022,190116,MOREHOUSE GENERAL HOSPITAL,Bastrop,STH,364,05/31/2023,Gov-Hospital District,22716589.0,15972817.0,34185558.0,20135343.0,15221031.0,37531815.0,154.3,-0.6522,0.0299,0.7031,0.589,4.02,Morehouse General Hospital,190116,IPPS,No,Yes,Wave 3+,MOREHOUSE,Government
2022,191301,UNION GENERAL HOSPITAL  INC.,Farmerville,CAH,364,06/30/2023,Nonprofit-Other,20417091.0,1670636.0,28398941.0,27322747.0,11626764.0,19958353.0,221.8,0.0225,0.0964,0.0818,0.9621,14.03,Union General Hospital,191301,CAH,No,No,,UNION,Nonprofit
2022,190133,ALLEN PARISH HOSPITAL,Kinder,STH,364,06/30/2023,Gov-Hospital District,14625476.0,9980282.0,25157012.0,13847217.0,7236254.0,22659550.0,118.6,-0.5493,0.0791,0.6824,0.5504,0.94,Allen Parish Hospital,190133,IPPS,Yes,Yes,Wave 1,ALLEN,Government
2022,190020,LANE REGIONAL MEDICAL CENTER,Zachary,STH,364,06/30/2023,Gov-Hospital District,76511738.0,30710519.0,115146377.0,79825884.0,19780575.0,109429365.0,69.1,-0.4302,-0.0206,0.4014,0.6933,1.9,Lane Regional Medical Center,190020,,Yes,No,,EAST BATON ROUGE,Government
2022,190312,OUR LADY OF THE ANGELS HOSPITAL MC,Bogalusa,STH,364,06/30/2023,Nonprofit-Church,76197941.0,3041380.0,51979909.0,36551617.0,230999.0,79893915.0,1.1,-0.0485,-0.0083,0.0399,0.7032,0.97,Our Lady of the Angels Hospital,190312,IPPS,No,No,,WASHINGTON,Nonprofit
2022,191311,BUNKIE GENERAL HOSPITAL,Bunkie,CAH,364,06/30/2023,Gov-Hospital District,17843327.0,5777940.0,22529984.0,20357930.0,3324169.0,18144114.0,68.7,-0.0169,0.2034,0.3238,0.9036,5.05,Bunkie General Medical Center,191311,CAH,Yes,Yes,Wave 1,AVOYELLES,Government
2022,190114,HOMER MEMORIAL HOSPITAL,Homer,STH,364,06/30/2023,Gov-City,24177158.0,6549648.0,22367650.0,16722601.0,5712357.0,32737016.0,65.4,-0.354,-0.0654,0.2709,0.7476,2.39,Claiborne Memorial Medical Ctr.,190114,IPPS,No,Yes,Wave 3+,CLAIBORNE,Government
2022,190007,NATCHITOCHES REGIONAL MEDICAL CENTER,Natchitoches,STH,364,06/30/2023,Gov-Hospital District,82412551.0,12418883.0,94550337.0,65362942.0,4893729.0,100417283.0,18.4,-0.2185,-0.0589,0.1507,0.6913,1.97,Natchitoches Regional Medical Center,190007,SCH,No,No,,NATCHITOCHES,Government
2022,191304,NORTH CADDO MEDICAL CENTER,Vivian,CAH,364,06/30/2023,Gov-Hospital District,24088737.0,10292656.0,56055616.0,28712341.0,9910254.0,33928360.0,114.2,-0.4085,0.0132,0.4273,0.5122,3.68,North Caddo Memorial Hospital,191304,CAH,No,No,,CADDO,Government
